ime,prezime,pol,pozivni_br,broj,fix_mob,tip,email,adresa,beleska
Sissy,Natalia,,+386,638821999,Mobilni,Porodicni,Sissy.Natalia@gmail.com,Hanover,krxav
Felice,Schalles,Z,+386,638328735,Fiksni,,Felice.Schalles@gmail.com,Bloemfontein,yM
Blondelle,Ietta,,+386,628792100,,Ostali,Blondelle.Ietta@gmail.com,Johannesburg,uVvgPDtnC
Sherrie,Wareing,Z,+385,616904974,,Porodicni,Sherrie.Wareing@gmail.com,Iquique,ZJNPUXgkEs
Vivia,Stelle,M,+381,610463233,Fiksni,Porodicni,Vivia.Stelle@gmail.com,Sydney,eLSnyBryOUV
Ardys,Gaspard,,+385,604650556,Fiksni,Prijateljski,Ardys.Gaspard@gmail.com,Liverpool,DHMAIKGEFey
Myriam,Dawkins,,+382,600142993,Mobilni,Poslovni,Myriam.Dawkins@gmail.com,Mogadishu,LBoJmjEvkxov
Rhoda,Elvyn,M,,640299674,,Ostali,Rhoda.Elvyn@gmail.com,Split (city),cTYLS re
Suzette,Lorain,,+381,694246645,Fiksni,Ostali,Suzette.Lorain@gmail.com,Riverside,dRTula
Dorothy,Brieta,M,,634431380,Fiksni,Ostali,Dorothy.Brieta@gmail.com,Virginia Beach,slamxqq
Xylina,Alisia,,+382,665560809,Mobilni,Porodicni,Xylina.Alisia@gmail.com,Memphis,gdZiMiW
Sherrie,Gregrory,M,+382,662184018,Mobilni,Porodicni,Sherrie.Gregrory@gmail.com,Belize City,dDKmFnbkvhJ
Tori,Hortensia,,+382,672750048,Fiksni,Poslovni,Tori.Hortensia@gmail.com,Cali,avOcb E
Margalo,Lattie,Z,,648556411,Mobilni,Ostali,Margalo.Lattie@gmail.com,Kyoto,HCEqzfEDQH
Brianna,Whiffen,M,+386,651986799,,Ostali,Brianna.Whiffen@gmail.com,Santo Domingo,EukTpMjc
Adele,Ricarda,M,+381,623368524,Fiksni,Ostali,Adele.Ricarda@gmail.com,Francistown,jVfmgfPQ
Maud,Dominy,Z,+385,674328887,Mobilni,Ostali,Maud.Dominy@gmail.com,Surat,zlNO
Shaylyn,Carvey,,+385,699871709,Mobilni,Prijateljski,Shaylyn.Carvey@gmail.com,Yellowknife,QBhU
Chastity,Malvino,,,614468492,Fiksni,Ostali,Chastity.Malvino@gmail.com,Saint John,WdkPbiUoMY
Ronna,Ledah,Z,+382,665960014,,Poslovni,Ronna.Ledah@gmail.com,Willemstad,Dmnq
Vivia,Hertzfeld,M,,691991203,,,Vivia.Hertzfeld@gmail.com,Kathmandu,DxB
Evaleen,Brodench,,+386,647771045,,Prijateljski,Evaleen.Brodench@gmail.com,Stanley,
Oralee,Adore,Z,+381,649148529,Mobilni,Ostali,Oralee.Adore@gmail.com,Amsterdam,jMtDo
Henriette,Niccolo,,,632173864,,Prijateljski,Henriette.Niccolo@gmail.com,Tunis,w
Randa,Idelia,,+382,663779740,Mobilni,Porodicni,Randa.Idelia@gmail.com,Reykjavík,gzmzKqH
Drucie,Glenden,Z,+385,663492957,Mobilni,Ostali,Drucie.Glenden@gmail.com,Saint Petersburg,Hx
Rosaline,Fredi,,+382,624532646,Fiksni,Ostali,Rosaline.Fredi@gmail.com,St. John's,tG
Kirstin,Rozanna,Z,+386,640522554,,Prijateljski,Kirstin.Rozanna@gmail.com,Baku,W
Edith,Lumbard,M,+385,649812462,,Poslovni,Edith.Lumbard@gmail.com,Port-au-Prince,xNRSZSoP Zq
Estell,Wolfgram,M,,696315386,Fiksni,Ostali,Estell.Wolfgram@gmail.com,Paramaribo,QXi
Aubrie,Koziara,M,+381,623032576,Fiksni,Prijateljski,Aubrie.Koziara@gmail.com,Pretoria,IxF
Bibby,Orlene,,+381,698842786,Fiksni,Prijateljski,Bibby.Orlene@gmail.com,Beijing,p feDDAk
Carol-Jean,Yorick,Z,+381,659155949,Fiksni,Ostali,Carol-Jean.Yorick@gmail.com,Helsinki,SlrRVzKnE
Leona,Kellby,Z,+385,617502547,,Prijateljski,Leona.Kellby@gmail.com,San Antonio,QXgTryO
Adore,Hirsch,,,630793703,Fiksni,Ostali,Adore.Hirsch@gmail.com,Barranquilla,mDeFxRLkOwl
Lynde,Koehler,M,+382,634419777,Fiksni,,Lynde.Koehler@gmail.com,Nantes,fHSfwwUyTl
Sashenka,Kaete,Z,+386,632051602,,,Sashenka.Kaete@gmail.com,Campo Grande,moPtS
Regina,Ball,,+382,642961188,,,Regina.Ball@gmail.com,Batticaloa,WJC evD
Sallie,Jacobah,M,+386,677448575,,Poslovni,Sallie.Jacobah@gmail.com,Malabo,svPr
Danika,Tristram,M,+385,613852087,,Porodicni,Danika.Tristram@gmail.com,Hiroshima,Pk
Willetta,Dash,,,640403619,Fiksni,Prijateljski,Willetta.Dash@gmail.com,Ho Chi Minh City,chnFlvBeL
Lucille,Byrne,,+382,652456741,,Porodicni,Lucille.Byrne@gmail.com,Kanpur,S
Olivette,Dulciana,M,+386,623619064,,Poslovni,Olivette.Dulciana@gmail.com,Addis Ababa,mRYsVpiI
Pearline,Phyllis,,+386,670509610,Fiksni,Poslovni,Pearline.Phyllis@gmail.com,Auckland,WSItHgtUQX
Loree,Charmine,M,+385,628777459,,Prijateljski,Loree.Charmine@gmail.com,Ottawa,MSTlUBlMteR
Ileana,Wenda,Z,,608981755,Fiksni,Ostali,Ileana.Wenda@gmail.com,Magadan,A
Gale,Pierette,,+382,609103714,,,Gale.Pierette@gmail.com,Serekunda,bWbvvA
Starla,Rosalba,M,+385,675716909,,Ostali,Starla.Rosalba@gmail.com,Bursa," e"
Julieta,Dituri,M,,669059568,Mobilni,Ostali,Julieta.Dituri@gmail.com,Omsk,FyCn
Nikki,Edmund,Z,+385,627598350,Fiksni,,Nikki.Edmund@gmail.com,Khartoum,XtSiy
Sonni,Honoria,Z,+382,661523854,Mobilni,Ostali,Sonni.Honoria@gmail.com,Asunción,OJ
Vita,Roarke,M,+382,624624134,,Prijateljski,Vita.Roarke@gmail.com,Milan,DktHAlLCl
Courtnay,Si,,+385,605104645,,Porodicni,Courtnay.Si@gmail.com,Boa Vista,tqWP
Elka,Horan,,+382,688630070,Fiksni,Porodicni,Elka.Horan@gmail.com,Adamstown,n
